"StartTime", "Duration", "TestCount", "TestFailures", "TestIgnored", "GendarmeDefects", "FxCop Warnings", "FxCop Errors", "BuildErrorType", "BuildErrorMessage", "mstest"
2024-10-05 09:31:25, 00:00:00, 0, 0, 0, 0, 0, 0, , , 
2024-10-05 09:43:00, 00:00:00, 0, 0, 0, 0, 0, 0, , , 
